,experience,train,epoch,itrs,loss,accuracy
77,base_cnn_xavier_normal,1,3,6000,1.5476888418197632,0
78,base_cnn_xavier_normal,0,3,8000,1.3356360344141722,0
79,base_cnn_xavier_normal,1,3,8000,1.56080726146698,0
80,base_cnn_xavier_normal,0,3,10000,1.3395512324422598,0
81,base_cnn_xavier_normal,1,3,10000,1.5886930155754089,0
82,base_cnn_xavier_normal,0,3,12000,1.3194651553779841,0
83,base_cnn_xavier_normal,1,3,12000,1.6152738118171692,0
84,base_cnn_xavier_normal,0,3,14000,1.3207121627926826,0
85,base_cnn_xavier_normal,1,3,14000,1.6037716937065125,0
86,base_cnn_xavier_normal,0,3,16000,1.3252913646698,0
87,base_cnn_xavier_normal,1,3,16000,1.6338643836975097,0
88,base_cnn_xavier_normal,0,3,18000,1.3210414992421866,0
89,base_cnn_xavier_normal,1,3,18000,1.6573265266418458,0
90,base_cnn_xavier_normal,0,3,20000,1.31922783960402,0
91,base_cnn_xavier_normal,1,3,20000,1.7028508853912354,0
92,base_cnn_xavier_normal,0,3,22000,1.3205419448167086,0
93,base_cnn_xavier_normal,1,3,22000,1.6257973432540893,0
94,base_cnn_xavier_normal,0,3,24000,1.3112965634018183,0
95,base_cnn_xavier_normal,1,3,24000,1.581738064289093,0
96,base_cnn_xavier_normal,0,3,26000,1.308039226680994,0
97,base_cnn_xavier_normal,1,3,26000,1.7414842009544373,0
98,base_cnn_xavier_normal,0,3,28000,1.3295064004659654,0
99,base_cnn_xavier_normal,1,3,28000,1.6441171741485596,0
100,base_cnn_xavier_normal,0,3,30000,1.3369928835332394,0
101,base_cnn_xavier_normal,1,3,30000,1.5484823846817017,0
102,base_cnn_xavier_normal,0,3,32000,1.3145043984651565,0
103,base_cnn_xavier_normal,1,3,32000,1.518346655368805,0
104,base_cnn_xavier_normal,0,3,34000,1.307736621811986,0
105,base_cnn_xavier_normal,1,3,34000,1.4676361989974975,0
106,base_cnn_xavier_normal,0,3,36000,1.3036205919086934,0
107,base_cnn_xavier_normal,1,3,36000,1.5582610440254212,0
108,base_cnn_xavier_normal,0,4,2000,1.268597779110074,0
109,base_cnn_xavier_normal,1,4,2000,1.5231020617485047,0
110,base_cnn_xavier_normal,0,4,4000,1.2962649666517974,0
111,base_cnn_xavier_normal,1,4,4000,1.5620849633216858,0
112,base_cnn_xavier_normal,0,4,6000,1.2955279061496259,0
113,base_cnn_xavier_normal,1,4,6000,1.5782775712013244,0
114,base_cnn_xavier_normal,0,4,8000,1.2801260099112988,0
115,base_cnn_xavier_normal,1,4,8000,1.5757805156707763,0
116,base_cnn_xavier_normal,0,4,10000,1.2897633845806122,0
117,base_cnn_xavier_normal,1,4,10000,1.5606923389434815,0
118,base_cnn_xavier_normal,0,4,12000,1.2792742103040218,0
119,base_cnn_xavier_normal,1,4,12000,1.5732632851600648,0
120,base_cnn_xavier_normal,0,4,14000,1.2785333128422498,0
121,base_cnn_xavier_normal,1,4,14000,1.6806506729125976,0
122,base_cnn_xavier_normal,0,4,16000,1.2762161121070386,0
123,base_cnn_xavier_normal,1,4,16000,1.6235872459411622,0
124,base_cnn_xavier_normal,0,4,18000,1.275048951730132,0
125,base_cnn_xavier_normal,1,4,18000,1.6109976291656494,0
126,base_cnn_xavier_normal,0,4,20000,1.2645802984386683,0
127,base_cnn_xavier_normal,1,4,20000,1.5338181042671204,0
128,base_cnn_xavier_normal,0,4,22000,1.2903026296645403,0
129,base_cnn_xavier_normal,1,4,22000,1.4795906853675842,0
130,base_cnn_xavier_normal,0,4,24000,1.2742387924194336,0
131,base_cnn_xavier_normal,1,4,24000,1.5342637348175048,0
132,base_cnn_xavier_normal,0,4,26000,1.2989316251575946,0
133,base_cnn_xavier_normal,1,4,26000,1.5268413591384888,0
134,base_cnn_xavier_normal,0,4,28000,1.2686079982072116,0
135,base_cnn_xavier_normal,1,4,28000,1.5404708790779114,0
136,base_cnn_xavier_normal,0,4,30000,1.279967188462615,0
137,base_cnn_xavier_normal,1,4,30000,1.5386985802650452,0
138,base_cnn_xavier_normal,0,4,32000,1.2745930620282888,0
139,base_cnn_xavier_normal,1,4,32000,1.547582244873047,0
140,base_cnn_xavier_normal,0,4,34000,1.2793888992667197,0
141,base_cnn_xavier_normal,1,4,34000,1.5479062795639038,0
142,base_cnn_xavier_normal,0,4,36000,1.2444108083993197,0
143,base_cnn_xavier_normal,1,4,36000,1.6444268560409545,0
144,base_cnn_xavier_normal,0,0,0,0.0,60.37
0,base_cnn_xavier_uniform,0,1,2000,2.0404347821474076,0
1,base_cnn_xavier_uniform,1,1,2000,1.8762334656715394,0
2,base_cnn_xavier_uniform,0,1,4000,1.8358056016266346,0
3,base_cnn_xavier_uniform,1,1,4000,1.808672058582306,0
4,base_cnn_xavier_uniform,0,1,6000,1.770212904214859,0
5,base_cnn_xavier_uniform,1,1,6000,1.7827158546447754,0
6,base_cnn_xavier_uniform,0,1,8000,1.696208558410406,0
7,base_cnn_xavier_uniform,1,1,8000,1.723135380744934,0
8,base_cnn_xavier_uniform,0,1,10000,1.6739885769188405,0
9,base_cnn_xavier_uniform,1,1,10000,1.7891914010047913,0
10,base_cnn_xavier_uniform,0,1,12000,1.650186965122819,0
11,base_cnn_xavier_uniform,1,1,12000,1.6975519347190857,0
12,base_cnn_xavier_uniform,0,1,14000,1.608971281170845,0
13,base_cnn_xavier_uniform,1,1,14000,1.7040526604652404,0
14,base_cnn_xavier_uniform,0,1,16000,1.5967048935890198,0
15,base_cnn_xavier_uniform,1,1,16000,1.6685835003852845,0
16,base_cnn_xavier_uniform,0,1,18000,1.590613980665803,0
17,base_cnn_xavier_uniform,1,1,18000,1.6767722415924071,0
18,base_cnn_xavier_uniform,0,1,20000,1.568432672560215,0
19,base_cnn_xavier_uniform,1,1,20000,1.6393545007705688,0
20,base_cnn_xavier_uniform,0,1,22000,1.530833712667227,0
21,base_cnn_xavier_uniform,1,1,22000,1.6791920804977416,0
22,base_cnn_xavier_uniform,0,1,24000,1.5298716678321362,0
23,base_cnn_xavier_uniform,1,1,24000,1.7320833802223206,0
24,base_cnn_xavier_uniform,0,1,26000,1.5173252217322588,0
25,base_cnn_xavier_uniform,1,1,26000,1.628765833377838,0
26,base_cnn_xavier_uniform,0,1,28000,1.5137686782777309,0
27,base_cnn_xavier_uniform,1,1,28000,1.6595688223838807,0
28,base_cnn_xavier_uniform,0,1,30000,1.4801960088610648,0
29,base_cnn_xavier_uniform,1,1,30000,1.6716448426246644,0
30,base_cnn_xavier_uniform,0,1,32000,1.484928054213524,0
31,base_cnn_xavier_uniform,1,1,32000,1.6475908517837525,0
32,base_cnn_xavier_uniform,0,1,34000,1.4688651248216629,0
33,base_cnn_xavier_uniform,1,1,34000,1.7911025190353393,0
34,base_cnn_xavier_uniform,0,1,36000,1.4536986645758152,0
35,base_cnn_xavier_uniform,1,1,36000,1.7934803223609925,0
36,base_cnn_xavier_uniform,0,2,2000,1.437926830932498,0
37,base_cnn_xavier_uniform,1,2,2000,1.7116486144065857,0
38,base_cnn_xavier_uniform,0,2,4000,1.4167266453355551,0
39,base_cnn_xavier_uniform,1,2,4000,1.6602217435836792,0
40,base_cnn_xavier_uniform,0,2,6000,1.409437500268221,0
41,base_cnn_xavier_uniform,1,2,6000,1.5972882747650146,0
42,base_cnn_xavier_uniform,0,2,8000,1.4246743038594722,0
43,base_cnn_xavier_uniform,1,2,8000,1.6844376969337462,0
44,base_cnn_xavier_uniform,0,2,10000,1.4226550709605217,0
45,base_cnn_xavier_uniform,1,2,10000,1.6117540216445922,0
46,base_cnn_xavier_uniform,0,2,12000,1.3844359244406224,0
47,base_cnn_xavier_uniform,1,2,12000,1.6145440030097962,0
48,base_cnn_xavier_uniform,0,2,14000,1.4059451687037945,0
49,base_cnn_xavier_uniform,1,2,14000,1.6450086259841918,0
50,base_cnn_xavier_uniform,0,2,16000,1.3813701869547368,0
